"Id","SalePrice"
1461,120458.4765625
1462,147578.546875
1463,184630.15625
1464,187858.296875
1465,185342.890625
1466,171082.46875
1467,161736.296875
1468,168993.65625
1469,176579.015625
1470,126454.234375
1471,192729.140625
1472,93380.5078125
1473,94771.2890625
1474,148572.0625
1475,114180.6171875
1476,410985.09375
1477,245484.015625
1478,303478.1875
1479,317814.5
1480,464734.5
1481,316992.96875
1482,203772.375
1483,172260.390625
1484,166268.734375
1485,169284.9375
1486,196544.6875
1487,330648.125
1488,230323.171875
1489,199552.265625
1490,200527.890625
1491,191773.65625
1492,94378.4609375
1493,163977.609375
1494,294976.09375
1495,281376.28125
1496,215472.015625
1497,179545.578125
1498,155486.171875
1499,153512.09375
1500,154211.40625
1501,173395.6875
1502,150196.9375
1503,294232.4375
1504,236961.984375
1505,217229.140625
1506,178378.484375
1507,237726.65625
1508,186053.546875
1509,165513.90625
1510,146557.34375
1511,143964.40625
1512,176302.859375
1513,142166.015625
1514,166714.1875
1515,195598.1875
1516,146634.671875
1517,135852.5625
1518,142921.15625
1519,221170.3125
1520,122214.8203125
1521,137110.734375
1522,161414.125
1523,101716.5390625
1524,106952.0234375
1525,108619.0078125
1526,111826.859375
1527,100267.9140625
1528,125817.375
1529,141775.390625
1530,165094.421875
1531,129217.6484375
1532,102161.5859375
1533,142057.734375
1534,106129.4609375
1535,150228.09375
1536,109535.0234375
1537,81457.1328125
1538,173561.390625
1539,218769.109375
1540,126180.953125
1541,135555.15625
1542,135695.703125
1543,205695.3125
1544,92608.5546875
1545,98970.421875
1546,108729.984375
1547,119403.109375
1548,129367.8203125
1549,116227.453125
1550,144934.171875
1551,102431.828125
1552,137700.109375
1553,135623.1875
1554,103059.0234375
1555,168817.734375
1556,88379.1875
1557,116627.1796875
1558,94041.171875
1559,114191.6328125
1560,139324.6875
1561,145973.0625
1562,120537.4609375
1563,113630.625
1564,141278.296875
1565,146722.078125
1566,210121.0625
1567,95294.9375
1568,227104.34375
1569,152523.3125
1570,117966.546875
1571,115683.578125
1572,134332.671875
1573,239537.296875
1574,117305.2890625
1575,218759.859375
1576,228302.25
1577,193074.4375
1578,146621.6875
1579,137135.109375
1580,186841.46875
1581,139727.3125
1582,122215.5546875
1583,303979.15625
1584,224089.6875
1585,135073.171875
1586,82016.9609375
1587,97770.1015625
1588,133843.515625
1589,98276.6875
1590,116796.1953125
1591,93342.2109375
1592,117544.0625
1593,104262.234375
1594,161229.78125
1595,110444.3203125
1596,213153.71875
1597,184279.328125
1598,192145.78125
1599,180113.671875
1600,173007.921875
1601,80555.0625
1602,107824.8046875
1603,78084.421875
1604,235393.09375
1605,246051.140625
1606,158505.125
1607,157216.515625
1608,210246.640625
1609,193388.578125
1610,162962.765625
1611,138638.828125
1612,170561.671875
1613,158119.984375
1614,108873.390625
1615,93344.75
1616,84235.203125
1617,92184.3125
1618,112901.28125
1619,133255.609375
1620,169301.46875
1621,137995.265625
1622,138265.796875
1623,269289.1875
1624,205163
1625,116101.1640625
1626,163059.46875
1627,190199.3125
1628,273613.15625
1629,181861.40625
1630,330679.125
1631,210835.8125
1632,245634.71875
1633,168087.5
1634,182510.34375
1635,171875.3125
1636,150842.4375
1637,182461.171875
1638,185878.65625
1639,175117.34375
1640,246853.375
1641,182085.046875
1642,223190.90625
1643,214761.296875
1644,223174.625
1645,185679.4375
1646,148901.796875
1647,158373.78125
1648,125008.7109375
1649,119030.3828125
1650,113534.7578125
1651,125433.0859375
1652,94267.125
1653,87698.2109375
1654,154109.859375
1655,144835.09375
1656,145161.71875
1657,152728.375
1658,151312.9375
1659,126084.9140625
1660,142234.84375
1661,458039.15625
1662,363791.28125
1663,387496.65625
1664,412274
1665,315750.90625
1666,319692.0625
1667,387701.5625
1668,336058.875
1669,285877.8125
1670,355803.90625
1671,256841.03125
1672,464425.34375
1673,306713
1674,238812.65625
